name,latitude,longitude,color
AGE00135039: 190,35.7297,0.6500,#bfff00
ASN00066062: 255,-33.8607,151.2050,#fff700
ASN00086071: 288,-37.8075,144.9700,#ffe500
ASN00090015: 222,-38.8556,143.5128,#e8ff00
AU000005901: 26,48.2331,16.3500,#00ff5c
BE000006447: 83,50.8000,4.3500,#36ff00
CA006148100: -122,43.3833,-81.0000,#00dcff
CA006158350: -94,43.6667,-79.4000,#00e4ff
EIE00101859: 6,53.2800,-9.0200,#00ffde
EZE00100082: 27,50.0864,14.4164,#00ff55
GM000004204: 98,50.9267,11.5842,#49ff00
GME00125218: 84,51.3164,12.4475,#37ff00
GME00127462: 10,54.3656,13.4783,#00ffc4
ITE00100550: 71,44.5000,11.3458,#26ff00
ITE00100554: 43,45.4717,9.1892,#03ff00
SWE00139148: -46,59.8600,17.6300,#00f2ff
SZ000006717: -21,45.8667,7.1667,#00f9ff
UK000047811: 13,54.3500,-6.6500,#00ffb1
UK000056225: -1,51.7667,-1.2667,#00ffff
