name,latitude,longitude,color
AGE00135039: 260,35.7297,0.6500,#fff400
ASN00066062: 191,-33.8607,151.2050,#73ff00
ASN00086071: 176,-37.8075,144.9700,#48ff00
ASN00090015: 150,-38.8556,143.5128,#00ff00
AU000005901: 204,48.2331,16.3500,#98ff00
BE000006447: 213,50.8000,4.3500,#b2ff00
CA006148100: 183,43.3833,-81.0000,#5cff00
CA006158350: 183,43.6667,-79.4000,#5cff00
EIE00101859: 189,53.2800,-9.0200,#6dff00
EZE00100082: 207,50.0864,14.4164,#a0ff00
GM000004204: 200,50.9267,11.5842,#8cff00
GME00125218: 179,51.3164,12.4475,#50ff00
GME00127462: 174,54.3656,13.4783,#42ff00
ITE00100550: 275,44.5000,11.3458,#ffec00
ITE00100554: 281,45.4717,9.1892,#ffe900
SWE00139148: 186,59.8600,17.6300,#64ff00
SZ000006717: 134,45.8667,7.1667,#00ff02
UK000047811: 189,54.3500,-6.6500,#6dff00
UK000056225: 242,51.7667,-1.2667,#fffe00
USC00288878: 211,40.2333,-74.7667,#acff00
