name,latitude,longitude,color
ASN00066062: 241,-33.8607,151.2050,#ffff00
ASN00086071: 255,-37.8075,144.9700,#fff700
ASN00090015: 183,-38.8556,143.5128,#b6ff00
AU000005901: 38,48.2331,16.3500,#00ff02
BE000006447: 27,50.8000,4.3500,#00ff0f
CA006158350: 33,43.6667,-79.4000,#00ff08
EIE00101859: 128,53.2800,-9.0200,#6fff00
EZE00100082: 5,50.0864,14.4164,#00ff29
GM000004204: -20,50.9267,11.5842,#00ff46
GME00125218: 4,51.3164,12.4475,#00ff2a
GME00127462: 50,54.3656,13.4783,#0cff00
ITE00100550: 71,44.5000,11.3458,#26ff00
ITE00100554: 58,45.4717,9.1892,#16ff00
SWE00139148: 27,59.8600,17.6300,#00ff0f
SZ000006717: 19,45.8667,7.1667,#00ff18
UK000047811: 133,54.3500,-6.6500,#76ff00
UK000056225: 95,51.7667,-1.2667,#45ff00
USC00288878: 33,40.2333,-74.7667,#00ff08
