name,latitude,longitude,color
AGE00135039: 160,35.7297,0.6500,#1aff00
ASN00066062: 241,-33.8607,151.2050,#ffff00
ASN00086071: 199,-37.8075,144.9700,#8aff00
ASN00090015: 206,-38.8556,143.5128,#9eff00
AU000005901: -55,48.2331,16.3500,#00ff20
BE000006447: -24,50.8000,4.3500,#00ff1b
CA006148100: -44,43.3833,-81.0000,#00ff1e
CA006158350: -22,43.6667,-79.4000,#00ff1b
EIE00101859: 100,53.2800,-9.0200,#00ff08
EZE00100082: -62,50.0864,14.4164,#00ff21
GM000004204: -63,50.9267,11.5842,#00ff21
GME00125218: -74,51.3164,12.4475,#00ff23
GME00127462: -43,54.3656,13.4783,#00ff1e
ITE00100550: 15,44.5000,11.3458,#00ff15
ITE00100554: 67,45.4717,9.1892,#00ff0d
SWE00139148: -87,59.8600,17.6300,#00ff25
SZ000006717: -188,45.8667,7.1667,#00ff34
UK000047811: 47,54.3500,-6.6500,#00ff10
UK000056225: -11,51.7667,-1.2667,#00ff19
