name,latitude,longitude,color
AGE00135039: 160,35.7297,0.6500,#1aff00
ASN00066062: 223,-33.8607,151.2050,#ceff00
ASN00086071: 194,-37.8075,144.9700,#7bff00
ASN00090015: 161,-38.8556,143.5128,#1dff00
AU000005901: 71,48.2331,16.3500,#00ff0c
BE000006447: 74,50.8000,4.3500,#00ff0c
CA006148100: 6,43.3833,-81.0000,#00ff16
CA006158350: 33,43.6667,-79.4000,#00ff12
EIE00101859: 106,53.2800,-9.0200,#00ff07
EZE00100082: 62,50.0864,14.4164,#00ff0e
GM000004204: 36,50.9267,11.5842,#00ff12
GME00125218: 60,51.3164,12.4475,#00ff0e
GME00127462: 11,54.3656,13.4783,#00ff15
ITE00100550: 113,44.5000,11.3458,#00ff06
ITE00100554: 121,45.4717,9.1892,#00ff04
SWE00139148: -36,59.8600,17.6300,#00ff1d
SZ000006717: -58,45.8667,7.1667,#00ff20
UK000047811: 128,54.3500,-6.6500,#00ff03
UK000056225: 116,51.7667,-1.2667,#00ff05
USC00288878: 33,40.2333,-74.7667,#00ff12
