name,latitude,longitude,color
AGE00135039: 210,35.7297,0.6500,#a9ff00
ASN00066062: 247,-33.8607,151.2050,#fffc00
ASN00086071: 373,-37.8075,144.9700,#ffb600
ASN00090015: 283,-38.8556,143.5128,#ffe800
AU000005901: 79,48.2331,16.3500,#00ff0b
BE000006447: 98,50.8000,4.3500,#00ff08
CA006148100: 11,43.3833,-81.0000,#00ff15
CA006158350: 0,43.6667,-79.4000,#00ff17
EIE00101859: 122,53.2800,-9.0200,#00ff04
EZE00100082: 75,50.0864,14.4164,#00ff0c
GM000004204: 81,50.9267,11.5842,#00ff0b
GME00125218: 84,51.3164,12.4475,#00ff0a
GME00127462: 83,54.3656,13.4783,#00ff0a
ITE00100550: 116,44.5000,11.3458,#00ff05
ITE00100554: 143,45.4717,9.1892,#00ff01
SWE00139148: 23,59.8600,17.6300,#00ff14
SZ000006717: -4,45.8667,7.1667,#00ff18
UK000047811: 106,54.3500,-6.6500,#00ff07
UK000056225: 99,51.7667,-1.2667,#00ff08
USC00288878: 100,40.2333,-74.7667,#00ff08
