name,latitude,longitude,color
ASN00066062: 297,-33.8607,151.2050,#ffe000
ASN00086071: 219,-37.8075,144.9700,#e4ff00
ASN00090015: 206,-38.8556,143.5128,#d3ff00
AU000005901: 5,48.2331,16.3500,#00ff9a
BE000006447: -1,50.8000,4.3500,#00ffb4
CA006158350: 28,43.6667,-79.4000,#00ff35
EIE00101859: 0,53.2800,-9.0200,#00ffb0
EZE00100082: -16,50.0864,14.4164,#00fff6
GM000004204: -9,50.9267,11.5842,#00ffd7
GME00125218: -15,51.3164,12.4475,#00fff2
GME00127462: -3,54.3656,13.4783,#00ffbd
ITE00100550: 21,44.5000,11.3458,#00ff54
ITE00100554: 11,45.4717,9.1892,#00ff80
SWE00139148: -17,59.8600,17.6300,#00ffff
SZ000006717: -19,45.8667,7.1667,#00feff
UK000047811: 8,54.3500,-6.6500,#00ff8d
UK000056225: 16,51.7667,-1.2667,#00ff6a
