name,latitude,longitude,color
AGE00135039: 160,35.7297,0.6500,#1aff00
ASN00066062: 333,-33.8607,151.2050,#ffcc00
ASN00086071: 223,-37.8075,144.9700,#ceff00
ASN00090015: 200,-38.8556,143.5128,#8cff00
AU000005901: 19,48.2331,16.3500,#00ff14
BE000006447: 29,50.8000,4.3500,#00ff13
CA006148100: -106,43.3833,-81.0000,#00ff28
CA006158350: -139,43.6667,-79.4000,#00ff2d
EIE00101859: 72,53.2800,-9.0200,#00ff0c
EZE00100082: 12,50.0864,14.4164,#00ff15
GM000004204: 29,50.9267,11.5842,#00ff13
GME00125218: 23,51.3164,12.4475,#00ff14
GME00127462: 4,54.3656,13.4783,#00ff17
ITE00100550: 40,44.5000,11.3458,#00ff11
ITE00100554: 17,45.4717,9.1892,#00ff15
SWE00139148: 15,59.8600,17.6300,#00ff15
SZ000006717: -122,45.8667,7.1667,#00ff2a
UK000047811: 66,54.3500,-6.6500,#00ff0d
UK000056225: 40,51.7667,-1.2667,#00ff11
