name,latitude,longitude,color
AGE00135039: 280,35.7297,0.6500,#ffe900
ASN00066062: 145,-33.8607,151.2050,#85ff00
ASN00086071: 91,-37.8075,144.9700,#40ff00
ASN00090015: 128,-38.8556,143.5128,#6fff00
AU000005901: 195,48.2331,16.3500,#c5ff00
BE000006447: 242,50.8000,4.3500,#fffe00
CA006148100: 156,43.3833,-81.0000,#93ff00
CA006158350: 194,43.6667,-79.4000,#c4ff00
EIE00101859: 200,53.2800,-9.0200,#ccff00
EZE00100082: 197,50.0864,14.4164,#c8ff00
GM000004204: 208,50.9267,11.5842,#d6ff00
GME00125218: 194,51.3164,12.4475,#c4ff00
GME00127462: 170,54.3656,13.4783,#a5ff00
ITE00100550: 300,44.5000,11.3458,#ffde00
ITE00100554: 278,45.4717,9.1892,#ffea00
SWE00139148: 249,59.8600,17.6300,#fffb00
SZ000006717: 90,45.8667,7.1667,#3fff00
UK000047811: 206,54.3500,-6.6500,#d3ff00
UK000056225: 229,51.7667,-1.2667,#f1ff00
USC00288878: 294,40.2333,-74.7667,#ffe200
