name,latitude,longitude,color
AGE00135039: 250,35.7297,0.6500,#fffa00
ASN00066062: 250,-33.8607,151.2050,#fffa00
ASN00086071: 250,-37.8075,144.9700,#fffa00
ASN00090015: 222,-38.8556,143.5128,#e8ff00
AU000005901: 151,48.2331,16.3500,#8dff00
BE000006447: 204,50.8000,4.3500,#d1ff00
CA006148100: 78,43.3833,-81.0000,#2fff00
CA006158350: 94,43.6667,-79.4000,#44ff00
EIE00101859: 194,53.2800,-9.0200,#c4ff00
EZE00100082: 178,50.0864,14.4164,#b0ff00
GM000004204: 174,50.9267,11.5842,#aaff00
GME00125218: 154,51.3164,12.4475,#91ff00
ITE00100550: 180,44.5000,11.3458,#b2ff00
ITE00100554: 208,45.4717,9.1892,#d6ff00
SWE00139148: 115,59.8600,17.6300,#5fff00
SZ000006717: 63,45.8667,7.1667,#1cff00
UK000047811: 189,54.3500,-6.6500,#beff00
UK000056225: 198,51.7667,-1.2667,#c9ff00
USC00288878: 183,40.2333,-74.7667,#b6ff00
