name,latitude,longitude,color
AGE00135039: 280,35.7297,0.6500,#ffe900
ASN00066062: 312,-33.8607,151.2050,#ffd800
ASN00086071: 233,-37.8075,144.9700,#ebff00
ASN00090015: 178,-38.8556,143.5128,#4dff00
AU000005901: 138,48.2331,16.3500,#00ff02
BE000006447: 202,50.8000,4.3500,#92ff00
CA006148100: 206,43.3833,-81.0000,#9eff00
CA006158350: 194,43.6667,-79.4000,#7bff00
EIE00101859: 183,53.2800,-9.0200,#5cff00
EZE00100082: 123,50.0864,14.4164,#00ff04
GM000004204: 140,50.9267,11.5842,#00ff02
GME00125218: 135,51.3164,12.4475,#00ff02
GME00127462: 80,54.3656,13.4783,#00ff0b
ITE00100550: 154,44.5000,11.3458,#09ff00
ITE00100554: 134,45.4717,9.1892,#00ff02
SWE00139148: 50,59.8600,17.6300,#00ff0f
SZ000006717: -1,45.8667,7.1667,#00ff17
UK000047811: 172,54.3500,-6.6500,#3cff00
UK000056225: 178,51.7667,-1.2667,#4dff00
USC00288878: 256,40.2333,-74.7667,#fff700
