name,latitude,longitude,color
AGE00135039: 200,35.7297,0.6500,#8cff00
ASN00066062: 235,-33.8607,151.2050,#f1ff00
ASN00086071: 294,-37.8075,144.9700,#ffe200
ASN00090015: 211,-38.8556,143.5128,#acff00
AU000005901: 94,48.2331,16.3500,#00ff09
BE000006447: 88,50.8000,4.3500,#00ff0a
CA006148100: 6,43.3833,-81.0000,#00ff16
CA006158350: 11,43.6667,-79.4000,#00ff15
EIE00101859: 133,53.2800,-9.0200,#00ff03
EZE00100082: 73,50.0864,14.4164,#00ff0c
GM000004204: 86,50.9267,11.5842,#00ff0a
GME00125218: 85,51.3164,12.4475,#00ff0a
GME00127462: 85,54.3656,13.4783,#00ff0a
ITE00100550: 150,44.5000,11.3458,#00ff00
ITE00100554: 135,45.4717,9.1892,#00ff02
SWE00139148: 44,59.8600,17.6300,#00ff10
SZ000006717: -31,45.8667,7.1667,#00ff1c
UK000047811: 72,54.3500,-6.6500,#00ff0c
UK000056225: 95,51.7667,-1.2667,#00ff09
USC00288878: 122,40.2333,-74.7667,#00ff04
