name,latitude,longitude,color
ASN00066062: 245,-33.8607,151.2050,#fffd00
ASN00086071: 303,-37.8075,144.9700,#ffdd00
ASN00090015: 200,-38.8556,143.5128,#ccff00
AU000005901: 58,48.2331,16.3500,#16ff00
BE000006447: 53,50.8000,4.3500,#0fff00
CA006158350: 39,43.6667,-79.4000,#00ff00
EIE00101859: 89,53.2800,-9.0200,#3eff00
EZE00100082: 45,50.0864,14.4164,#05ff00
GM000004204: 36,50.9267,11.5842,#00ff01
GME00125218: 23,51.3164,12.4475,#00ff05
GME00127462: 6,54.3656,13.4783,#00ff09
ITE00100550: 83,44.5000,11.3458,#36ff00
ITE00100554: 48,45.4717,9.1892,#09ff00
SWE00139148: -30,59.8600,17.6300,#00ff13
SZ000006717: -127,45.8667,7.1667,#00ff2d
UK000047811: 76,54.3500,-6.6500,#2dff00
UK000056225: 48,51.7667,-1.2667,#09ff00
