name,latitude,longitude,color
AGE00135039: 135,35.7297,0.6500,#78ff00
ASN00066062: 244,-33.8607,151.2050,#fffd00
ASN00086071: 263,-37.8075,144.9700,#fff300
ASN00090015: 200,-38.8556,143.5128,#ccff00
AU000005901: -21,48.2331,16.3500,#00feff
BE000006447: 24,50.8000,4.3500,#00ff46
CA006148100: -72,43.3833,-81.0000,#00efff
CA006158350: -33,43.6667,-79.4000,#00faff
EIE00101859: 0,53.2800,-9.0200,#00ffb0
EZE00100082: 22,50.0864,14.4164,#00ff4f
GM000004204: 26,50.9267,11.5842,#00ff3e
GME00125218: 23,51.3164,12.4475,#00ff4b
GME00127462: -10,54.3656,13.4783,#00ffdc
ITE00100550: 0,44.5000,11.3458,#00ffb0
ITE00100554: -2,45.4717,9.1892,#00ffb9
SWE00139148: 15,59.8600,17.6300,#00ff6e
SZ000006717: -95,45.8667,7.1667,#00e8ff
UK000047811: 11,54.3500,-6.6500,#00ff80
UK000056225: 16,51.7667,-1.2667,#00ff6a
