name,latitude,longitude,color
ASN00066062: 191,-33.8607,151.2050,#c0ff00
ASN00086071: 139,-37.8075,144.9700,#7eff00
ASN00090015: 156,-38.8556,143.5128,#93ff00
AU000005901: 184,48.2331,16.3500,#b7ff00
BE000006447: 245,50.8000,4.3500,#fffd00
CA006158350: 278,43.6667,-79.4000,#ffea00
EIE00101859: 194,53.2800,-9.0200,#c4ff00
EZE00100082: 227,50.0864,14.4164,#eeff00
GM000004204: 238,50.9267,11.5842,#fcff00
GME00125218: 219,51.3164,12.4475,#e4ff00
GME00127462: 200,54.3656,13.4783,#ccff00
ITE00100550: 284,44.5000,11.3458,#ffe700
ITE00100554: 273,45.4717,9.1892,#ffed00
SWE00139148: 204,59.8600,17.6300,#d1ff00
SZ000006717: 120,45.8667,7.1667,#65ff00
UK000047811: 211,54.3500,-6.6500,#daff00
UK000056225: 225,51.7667,-1.2667,#ecff00
USC00288878: 278,40.2333,-74.7667,#ffea00
